reqDisk,meanDisk
0.0003624,0.00010800661975395853
0.0003633,0.0010115394319122973
0.0003643,3.282802629272568e-05
0.0003653,9.536999999999986e-07
0.0003662,0.00010961944681355125
0.0003681,2.860999999999999e-06
0.00037,2.860999999999999e-06
0.000371,5.606010235414538e-05
0.0003729,4.129440824191766e-05
0.0003767,2.1122017605558725e-06
0.0003834,0.00031287518458989676
0.0003853,0.00016689999999999918
0.0003862,0.00021272981541356186
0.0003881,7.419561901316246e-06
0.0003901,1.2734451547619112e-05
0.0003929,9.534999999999975e-07
0.0003939,8.385356368563685e-05
0.0003948,6.357666666666671e-06
0.0003958,0.0
0.0003967,5.404166666666669e-06
0.0003977,6.357666666666679e-06
0.0003986,6.039833333333349e-06
0.0003996,6.357666666666679e-06
0.0004005,4.814948159278735e-06
0.0004015,0.0001472644657567933
0.0004025,5.087650122716121e-06
0.0004034,5.760321755027423e-06
0.0004044,0.00011522920901454113
0.0004053,2.6774199601266587e-07
0.0004063,6.2237844990548185e-06
0.0004072,6.4636666666666815e-06
0.0004082,4.367583643122684e-06
0.0004091,5.7220000000000055e-06
0.0004101,6.230600000000003e-06
0.000411,6.039999999999989e-06
0.000412,6.516749999999997e-06
0.0004129,0.0003702668833407806
0.0004139,4.289048808311264e-05
0.0004187,1.2614072055137853e-06
0.0004196,0.00020108923517057366
0.0004206,1.0484158403869394e-05
0.0004215,5.358766467065863e-05
0.0004225,1.1581606073288703e-05
0.0004244,0.00016843221726190472
0.0004282,8.659228667706302e-05
0.0004292,0.0004185479761904751
0.000432,5.952541876430204e-05
0.0004349,0.00017106499350292163
0.0004358,9.517939257901968e-05
0.0004396,2.8664406779660964e-06
0.0004473,0.00020391001895001486
0.000452,8.93405869316341e-05
0.0004539,2.7600333628318626e-05
0.0004549,9.579186930904227e-06
0.0004559,0.00041145476190476243
0.0004568,5.962761904761909e-05
0.0004625,0.0004104383942771161
0.0004635,2.224007681970885e-05
0.0004702,0.00016602178336221838
0.000474,3.6980357142857126e-05
0.0004749,0.00015694310122163979
0.0004787,0.00015180688184627777
0.0004807,0.0
0.0004864,0.0001494872619047618
0.0004902,4.7049529411764735e-05
0.0004921,0.0
0.000494,0.00024834120059656953
0.000495,8.500783862223705e-05
0.0004997,0.0002633756832298136
0.0005016,9.854522306210175e-05
0.0005026,4.955774718768504e-05
0.0005035,0.0002349846589801272
0.0005054,0.00013330680335947747
0.0005064,8.229905380155642e-05
0.0005093,0.00011432004960317476
0.000536,8.228834378920956e-06
0.0005379,5.530999999999998e-05
0.0005398,0.0001378269090357455
0.0005407,2.028117104846373e-05
0.0005445,0.00033252096613545863
0.0005474,5.862351897340825e-05
0.0005484,0.0003891053143712583
0.0005512,0.000200577153846154
0.0005608,2.1263928662420336e-05
0.0005636,0.00016249851190476179
0.0005665,0.00021664688811643773
0.0005674,0.00020170444206414167
0.0005684,1.7787483146067514e-06
0.0005722,0.0004131811097215274
0.0005732,0.0001730131613756613
0.0005789,7.159554870476849e-05
0.0005798,0.0
0.0005884,4.6414305107976806e-05
0.0005941,6.522796487603309e-05
0.0006018,4.149600172705387e-06
0.0006065,0.00019075219358177998
0.0006075,5.34798039215686e-06
0.0006104,2.7223080824785057e-05
0.000617,0.00029063418170699294
0.0006227,0.00018488107988289844
0.0006247,6.466552637880144e-06
0.0006313,1.1706357142857146e-05
0.000638,0.0003276446506750558
0.0006418,0.0008752684699334469
0.0006456,5.483749999999977e-06
0.0006466,0.00013508150480256127
0.0006475,0.0014779348429273882
0.0006485,0.0005475733631185136
0.0006542,0.00019856413004674885
0.0006552,1.430349999999998e-06
0.0006561,0.00010005904959153758
0.0006599,0.0004934073767894093
0.0006609,0.00014802121443442055
0.0006723,0.00010649210413445504
0.0006752,9.778170030612257e-05
0.0006847,1.9343875598086072e-06
0.0006895,4.212915451895047e-05
0.0006933,3.1015974991400035e-05
0.0006943,1.8118740000000003e-05
0.0006981,4.483248015873015e-05
0.0007029,0.0006433529545948794
0.0007133,0.00022167419642857148
0.0007153,1.3986666666666642e-05
0.0007238,0.00021714040674611904
0.0007267,0.006814047163473195
0.0007315,0.00014813856816720252
0.0007534,1.1024299417168826e-06
0.000761,5.126319444444442e-05
0.0007706,9.296220374707258e-05
0.0007715,0.00024427124470928225
0.0007725,0.0
0.0007782,0.0
0.0007792,0.0007506068951930245
0.0007877,3.954407234539088e-05
0.0007887,8.136380952380955e-05
0.0007906,0.0004289987820512827
0.0007915,0.00014924999999999994
0.0007944,0.00011815911443850261
0.0007954,1.9267976190476165e-05
0.0007963,2.796308154506437e-06
0.0008059,0.0007102299797750391
0.0008078,3.910000000000005e-05
0.0008106,0.000148201109713246
0.0008135,0.0001689369047619049
0.0008211,0.00018180798941798935
0.0008221,0.00012839025977051658
0.0008249,7.601289357097397e-05
0.0008287,0.00010703062527847915
0.0008307,0.0006067375942249253
0.0008402,1.3231125e-05
0.000845,0.0004225685694303153
0.0008459,0.00035623280864569896
0.0008478,0.0003855657490079365
0.0008488,0.0007358210167528271
0.0008593,9.23435707678883e-05
0.0008612,0.0003157392520302042
0.0008678,1.6693558467741938e-05
0.0008717,0.0001094270853026817
0.0008917,1.3351999999999978e-05
0.0008984,6.201264705882353e-06
0.0008993,0.00017343749603174606
0.0009079,4.8716994047618984e-05
0.0009098,4.768000000000015e-06
0.0009108,2.5383235294117622e-06
0.0009117,0.00045987450776796524
0.0009146,0.00011702203121418985
0.0009251,0.0007091842875333348
